"","year","plot","diameter","height","species","status","height_m","diameter_cm"
"314",2023,140,4,33,"Ilex opaca",1,10.0584,10.16
"315",2023,140,5.4,42,"Ilex opaca",1,12.8016,13.716
"316",2023,140,2.8,30,"Ilex opaca",1,9.144,7.112
"317",2023,8,1.7,22,"Ilex opaca",1,6.7056,4.318
"318",2023,8,1.4,18,"Ilex opaca",1,5.4864,3.556
"319",2023,8,2.2,22,"Ilex opaca",1,6.7056,5.588
"320",2023,8,2.4,23,"Ilex opaca",1,7.0104,6.096
"321",2023,8,1.8,14,"Ilex opaca",1,4.2672,4.572
"322",2023,8,1.4,12,"Ilex opaca",1,3.6576,3.556
"323",2023,8,1.3,18,"Ilex opaca",1,5.4864,3.302
"324",2023,73,NA,NA,"Ulmus americana",0,NA,NA
"325",2023,73,NA,NA,"Ulmus americana",0,NA,NA
"326",2023,73,NA,NA,"Ulmus americana",0,NA,NA
"327",2023,73,NA,NA,"Ulmus americana",0,NA,NA
"328",2023,73,NA,NA,"Ulmus americana",0,NA,NA
"329",2023,73,NA,NA,"Quercus texana",0,NA,NA
"330",2023,73,NA,NA,"Ulmus americana",0,NA,NA
"331",2023,73,NA,NA,"Ulmus americana",0,NA,NA
"332",2023,73,NA,NA,"Ulmus americana",0,NA,NA
"333",2023,40,5.4,42,"Ulmus americana",1,12.8016,13.716
"334",2023,1,6.4,64,"Ulmus americana",1,19.5072,16.256
"335",2023,6,7.4,38,"Ilex opaca",1,11.5824,18.796
"336",2023,6,1.3,24,"Ilex opaca",1,7.3152,3.302
"337",2023,6,1.5,25,"Ilex opaca",1,7.62,3.81
"338",2023,49,7.9,43,"Ilex opaca",1,13.1064,20.066
"339",2023,49,1.1,15,"Ilex opaca",1,4.572,2.794
"340",2023,49,7.4,53,"Ilex opaca",1,16.1544,18.796
"341",2023,79,6.7,52,"Ulmus americana",1,15.8496,17.018
"342",2023,1,NA,NA,"Ulmus americana",2,NA,NA
"343",2023,9,9.7,56,"Ulmus americana",1,17.0688,24.638
"344",2023,9,3.3,42,"Ulmus americana",1,12.8016,8.382
"345",2023,9,12.1,66,"Ulmus americana",1,20.1168,30.734
"346",2023,30,3.4,29,"Ilex opaca",1,8.8392,8.636
"347",2023,58,5.3,30,"Ilex opaca",1,9.144,13.462
"348",2023,58,5.3,33,"Ilex opaca",1,10.0584,13.462
"349",2023,58,1,16,"Ilex opaca",1,4.8768,2.54
"350",2023,70,1.8,16,"Ilex opaca",1,4.8768,4.572
"351",2023,6,6.6,40,"Ilex opaca",1,12.192,16.764
"352",2023,7,1,16,"Ulmus americana",1,4.8768,2.54
"353",2023,7,1.9,23,"Ulmus americana",1,7.0104,4.826
"354",2023,16,4.7,39,"Ilex opaca",1,11.8872,11.938
"355",2023,16,2.7,26,"Ilex opaca",1,7.9248,6.858
"356",2023,16,3.7,26,"Ilex opaca",1,7.9248,9.398
"357",2023,16,9.2,53,"Ilex opaca",1,16.1544,23.368
"358",2023,40,5.2,44,"Ilex opaca",1,13.4112,13.208
"359",2023,57,6.3,40,"Ilex opaca",1,12.192,16.002
"360",2023,57,6,44,"Ilex opaca",1,13.4112,15.24
"361",2023,57,7.1,52,"Ilex opaca",1,15.8496,18.034
"362",2023,57,6,43,"Ilex opaca",1,13.1064,15.24
"363",2023,57,5.9,46,"Ilex opaca",1,14.0208,14.986
"364",2023,57,1.6,15,"Ilex opaca",1,4.572,4.064
"365",2023,57,5.2,39,"Ilex opaca",1,11.8872,13.208
"366",2023,57,6.7,35,"Ilex opaca",1,10.668,17.018
"367",2023,57,6.8,30,"Ilex opaca",1,9.144,17.272
"368",2023,57,5.5,38,"Ilex opaca",1,11.5824,13.97
"369",2023,7,3.9,28,"Ilex opaca",1,8.5344,9.906
"370",2023,7,1.1,15,"Ilex opaca",1,4.572,2.794
"371",2023,29,8,54,"Ulmus americana",1,16.4592,20.32
"372",2023,59,8.7,52,"Ulmus americana",1,15.8496,22.098
"373",2023,53,NA,NA,"Ulmus americana",2,NA,NA
"374",2023,9,7,38,"Ulmus americana",1,11.5824,17.78
"375",2023,19,5.3,45,"Ilex opaca",1,13.716,13.462
"376",2023,19,5.8,33,"Ilex opaca",1,10.0584,14.732
"377",2023,19,1.7,14,"Ilex opaca",1,4.2672,4.318
"378",2023,35,1,14,"Ilex opaca",1,4.2672,2.54
"379",2023,43,2.6,20,"Ilex opaca",1,6.096,6.604
"380",2023,16,10.4,70,"Ulmus americana",2,21.336,26.416
"381",2023,16,10.7,55,"Ulmus americana",1,16.764,27.178
"382",2023,18,28,100,"Ulmus americana",1,30.48,71.12
"383",2023,18,17,95,"Ulmus americana",1,28.956,43.18
"384",2023,44,1.9,21,"Ilex opaca",1,6.4008,4.826
"385",2023,44,1.5,20,"Ilex opaca",1,6.096,3.81
"386",2023,44,2.2,22,"Ilex opaca",1,6.7056,5.588
"387",2023,44,1.9,22,"Ilex opaca",1,6.7056,4.826
"388",2023,44,2.1,22,"Ilex opaca",1,6.7056,5.334
"389",2023,44,2.5,22,"Ilex opaca",1,6.7056,6.35
"390",2023,44,2.3,22,"Ilex opaca",1,6.7056,5.842
"391",2023,44,1.5,20,"Ilex opaca",1,6.096,3.81
"392",2023,44,1.9,19,"Ilex opaca",1,5.7912,4.826
"393",2023,44,1.6,19,"Ilex opaca",1,5.7912,4.064
"394",2023,44,1.7,19,"Ilex opaca",1,5.7912,4.318
"395",2023,44,1.7,21,"Ilex opaca",1,6.4008,4.318
"396",2023,25,16.1,66,"Ilex opaca",1,20.1168,40.894
"397",2023,25,6.2,49,"Ilex opaca",1,14.9352,15.748
"398",2023,25,10.9,65,"Ilex opaca",1,19.812,27.686
"399",2023,25,5.4,38,"Ilex opaca",1,11.5824,13.716
"400",2023,25,5,36,"Ilex opaca",1,10.9728,12.7
"401",2023,28,1.4,16,"Ilex opaca",1,4.8768,3.556
"402",2023,38,1.9,16,"Ilex opaca",1,4.8768,4.826
"403",2023,38,1.9,14,"Ilex opaca",1,4.2672,4.826
"404",2023,39,5,40,"Ulmus americana",1,12.192,12.7
"405",2023,39,16,72,"Ulmus americana",1,21.9456,40.64
"406",2023,19,7.7,72,"Ilex opaca",1,21.9456,19.558
"407",2023,19,5.8,48,"Ilex opaca",1,14.6304,14.732
"408",2023,19,7.8,45,"Ilex opaca",1,13.716,19.812
"409",2023,19,5,37,"Ilex opaca",1,11.2776,12.7
"410",2023,19,5.3,36,"Ilex opaca",1,10.9728,13.462
"411",2023,19,12.8,87,"Quercus texana",1,26.5176,32.512
"412",2023,19,11.8,76,"Quercus texana",1,23.1648,29.972
"413",2023,19,13.6,79,"Quercus texana",1,24.0792,34.544
"414",2023,19,14.4,68,"Quercus texana",1,20.7264,36.576
"415",2023,19,16.3,92,"Quercus texana",1,28.0416,41.402
"416",2023,19,10.8,70,"Quercus texana",2,21.336,27.432
"417",2023,3,2.6,19,"Ilex opaca",1,5.7912,6.604
"418",2023,18,NA,NA,"Ulmus americana",2,NA,NA
"419",2023,31,2.4,23,"Ulmus americana",1,7.0104,6.096
