"county_code","year","number_trees","trees_alive","species_richness","diameter","height","region"
21,2008,10,8,3,8.67,47.8,"Northwest"
21,2009,241,223,24,7.84448132780083,50.850622406639,"Northwest"
21,2010,267,142,18,7.82299625468165,49.3183520599251,"Northwest"
21,2011,374,287,33,7.15935828877005,49.5094339622642,"Northwest"
21,2012,435,323,29,7.5147816091954,49.6520737327189,"Northwest"
21,2013,340,231,22,7.01226470588235,42.952802359882,"Northwest"
21,2014,219,183,17,6.98397260273973,46.2237442922374,"Northwest"
21,2015,155,125,25,6.59458064516129,43.5290322580645,"Northwest"
21,2016,347,204,20,7.01788856304985,48.7008797653959,"Northwest"
21,2017,318,267,33,7.77814465408805,54.3050314465409,"Northwest"
21,2018,314,166,25,8.64761290322581,58.8354838709677,"Northwest"
21,2019,353,234,34,8.0082905982906,50.1509971509971,"Northwest"
21,2020,330,218,22,7.7295154185022,52.0484581497797,"Northwest"
21,2021,198,126,18,8.38134328358209,55.4477611940299,"Northwest"
21,2022,206,164,28,7.74940476190476,51.0059523809524,"Northwest"
21,2023,261,224,31,7.78380566801619,57.8785425101215,"Northwest"
21,2024,360,220,23,8.07105263157895,50.2105263157895,"Northwest"
21,2025,277,211,28,8.3490990990991,58.045045045045,"Northwest"
23,2009,20,20,2,4.315,34.75,"South Delta"
23,2011,8,8,1,1.4125,11.875,"South Delta"
23,2016,26,22,3,5.17038461538462,37.9230769230769,"South Delta"
23,2018,21,19,1,2.16380952380952,15.2380952380952,"South Delta"
23,2019,15,15,1,5.94666666666667,36,"South Delta"
23,2024,22,0,3,NA,NA,"South Delta"
23,2025,14,14,1,2.1,16.1428571428571,"South Delta"
25,1974,1297,777,47,12.5335389360062,NA,"North Delta"
25,1984,562,300,48,8.27669039145908,63.4324324324324,"North Delta"
25,1991,682,625,47,8.98343108504399,64.5974358974359,"North Delta"
25,2001,79,44,15,9.81101265822785,53.7027027027027,"North Delta"
25,2002,147,144,25,7.29680272108844,43.2176870748299,"North Delta"
25,2003,213,175,28,7.97896713615024,48.5164319248826,"North Delta"
25,2004,120,106,19,7.60508333333333,51.475,"North Delta"
25,2005,165,136,27,7.37139393939394,50.8727272727273,"North Delta"
25,2008,37,36,7,8.21891891891892,45.8108108108108,"North Delta"
25,2009,70,59,19,7.64057142857143,45.0434782608696,"North Delta"
25,2010,50,42,14,8.4264,48.7291666666667,"North Delta"
25,2011,205,180,23,6.50375609756098,44.6417112299465,"North Delta"
25,2012,116,63,19,8.42077586206897,49.4310344827586,"North Delta"
25,2013,193,162,24,7.51818652849741,54.7305699481865,"North Delta"
25,2014,83,58,20,6.79674698795181,46.0722891566265,"North Delta"
25,2015,218,193,25,7.13834862385321,48.4128440366973,"North Delta"
25,2016,66,54,18,9.43136363636364,54.4545454545455,"North Delta"
25,2017,172,114,22,7.7778488372093,50.9941860465116,"North Delta"
25,2018,140,113,26,7.4355,45.0357142857143,"North Delta"
25,2019,167,145,19,7.52335329341317,44.7305389221557,"North Delta"
25,2020,227,163,24,8.78125,58.6534090909091,"North Delta"
25,2021,158,155,25,6.87677419354839,45.2709677419355,"North Delta"
25,2022,255,215,27,7.80769230769231,53.1990950226244,"North Delta"
25,2023,160,81,24,8.77228915662651,51.5180722891566,"North Delta"
25,2024,35,30,15,8.95483870967742,52.8387096774194,"North Delta"
25,2025,140,118,28,7.92248062015504,46.6899224806202,"North Delta"
27,1974,2135,1873,38,8.18496487119438,NA,"Northwest"
27,1984,1479,1092,38,7.61135902636917,65.2845528455285,"Northwest"
27,1991,2414,2095,47,8.41951118475559,71.852,"Northwest"
27,2001,495,384,29,6.74466666666667,43.5272727272727,"Northwest"
27,2002,551,466,27,7.75225045372051,49.3752276867031,"Northwest"
27,2003,378,291,23,7.30960317460317,51.4074074074074,"Northwest"
27,2004,436,359,23,8.27919724770642,53.4059633027523,"Northwest"
