"year","plot","diameter","height","species","status"
2024,25,NA,NA,"Quercus texana",2
2024,25,28.956,19.5072,"Ulmus americana",1
2024,25,14.986,17.6784,"Ulmus americana",1
2024,10,NA,NA,"Ulmus americana",2
2024,13,24.638,17.0688,"Quercus texana",1
2024,13,47.244,35.3568,"Quercus texana",1
2024,13,25.146,19.812,"Ulmus americana",1
2024,20,40.386,24.384,"Ulmus americana",1
2024,20,16.51,14.0208,"Ulmus americana",1
2024,20,17.018,14.9352,"Ulmus americana",1
2024,20,63.246,28.6512,"Quercus texana",1
2024,20,20.066,15.5448,"Ulmus americana",1
2024,20,30.48,22.5552,"Ulmus americana",1
2024,16,20.32,14.9352,"Quercus texana",1
2024,16,29.21,20.7264,"Quercus texana",1
2024,16,27.686,21.0312,"Quercus texana",1
2024,16,23.368,19.2024,"Quercus texana",1
2024,16,22.352,19.812,"Quercus texana",1
2024,49,79.756,35.052,"Ulmus americana",1
2024,50,2.54,3.9624,"Quercus texana",1
2024,8,28.448,14.3256,"Ulmus americana",1
2024,8,19.304,14.0208,"Ulmus americana",1
2024,8,44.196,26.8224,"Ulmus americana",1
2024,18,NA,NA,"Ulmus americana",2
2024,37,13.97,12.4968,"Ulmus americana",1
2024,11,21.844,15.5448,"Quercus texana",1
2024,11,22.098,13.716,"Quercus texana",1
2024,11,4.318,8.8392,"Ulmus americana",1
2024,11,30.988,19.812,"Quercus texana",1
2024,11,27.432,19.5072,"Quercus texana",1
2024,11,25.654,19.2024,"Quercus texana",1
2024,21,NA,NA,"Ulmus americana",0
2024,21,NA,NA,"Ulmus americana",0
2024,21,21.844,13.4112,"Ulmus americana",1
2024,21,13.97,10.668,"Ulmus americana",1
2024,21,7.366,8.8392,"Ulmus americana",1
2024,5,12.192,9.4488,"Ulmus americana",1
2024,5,9.398,9.4488,"Ulmus americana",1
2024,5,11.938,12.192,"Ulmus americana",1
2024,5,14.986,12.192,"Ulmus americana",1
2024,16,NA,NA,"Quercus texana",0
2024,16,NA,NA,"Ulmus americana",0
2024,16,NA,NA,"Ulmus americana",0
2024,44,NA,NA,"Quercus texana",2
2024,44,16.002,12.8016,"Quercus texana",2
2024,46,14.732,13.4112,"Quercus texana",1
2024,46,13.208,14.9352,"Quercus texana",1
2024,46,22.352,16.764,"Quercus texana",1
2024,46,13.716,11.2776,"Quercus texana",2
2024,50,44.958,25.2984,"Quercus texana",1
2024,50,43.942,27.7368,"Quercus texana",1
2024,50,40.132,31.3944,"Quercus texana",1
2024,50,26.162,21.9456,"Quercus texana",1
2024,50,20.32,21.336,"Quercus texana",1
2024,50,13.462,11.2776,"Quercus texana",1
2024,10,105.41,33.528,"Ulmus americana",2
2024,17,39.624,25.6032,"Quercus texana",1
2024,17,8.636,11.2776,"Ulmus americana",1
2024,17,5.08,7.0104,"Ulmus americana",1
2024,17,4.572,6.096,"Ulmus americana",1
2024,17,4.318,7.0104,"Ulmus americana",1
2024,17,6.096,10.9728,"Ulmus americana",1
2024,17,12.954,11.8872,"Ulmus americana",1
2024,17,12.7,10.9728,"Ulmus americana",1
2024,17,12.7,13.1064,"Ulmus americana",1
2024,18,14.732,16.1544,"Ulmus americana",1
2024,18,13.716,10.0584,"Ulmus americana",1
2024,18,36.83,21.0312,"Ulmus americana",1
2024,18,18.542,17.0688,"Quercus texana",1
2024,18,5.334,8.8392,"Ulmus americana",1
2024,18,9.398,10.0584,"Ulmus americana",1
2024,18,NA,NA,"Ulmus americana",2
2024,18,2.54,3.9624,"Ulmus americana",1
2024,18,18.796,12.192,"Ulmus americana",1
2024,18,13.462,11.5824,"Ulmus americana",1
2024,18,12.954,10.9728,"Ulmus americana",1
2024,18,23.368,21.336,"Ulmus americana",1
2024,18,28.702,17.6784,"Ulmus americana",1
2024,18,19.05,15.24,"Ulmus americana",1
2024,42,54.102,25.6032,"Ulmus americana",1
2024,42,23.876,13.716,"Ulmus americana",1
2024,42,35.052,22.5552,"Ulmus americana",1
2024,42,35.052,21.336,"Ulmus americana",1
2024,42,53.34,25.6032,"Ulmus americana",1
2024,18,11.684,7.3152,"Ulmus americana",1
2024,18,3.556,4.572,"Ulmus americana",2
2024,18,7.62,7.3152,"Ulmus americana",2
2024,18,4.064,5.7912,"Ulmus americana",1
